ID,Name,Semester,DOB,Courses
1,Sammy,3,01-01-2003,English-Maths-Science
2,Saro,3,01-05-2002,English-French-Science
3,alice,4,03-04-2004,History-Chemistry-Physics
4,bob,2,05-06-2002,Maths-English-Art
5,carol,1,07-08-2000,Biology-Geography-Music
6,dave,6,09-10-1999,Computer Science-Economics
7,emily,3,11-12-1998,Psychology-Sociology
8,frank,5,01-02-1997,Engineering-Philosophy
9,grace,2,03-04-1996,French-Literature
10,harry,4,05-06-1995,Spanish-Physical Education
11,irene,1,07-08-1994,Maths-English-Biology
12,john,3,09-10-1993,History-Chemistry-Physics
13,kate,4,11-12-1992,English-French-Science
14,lucas,2,01-02-1991,Music-Art-Geography
15,maria,5,03-04-1990,Computer Science-Economics
16,nick,6,05-06-1989,Psychology-Sociology
17,olivia,2,07-08-1988,Engineering-Philosophy
18,peter,1,09-10-1987,Spanish-Physical Education
19,quinn,3,11-12-1986,French-Literature-Math
20,rachel,4,01-02-1985,Chemistry-Physics-English
21,samuel,5,03-04-1984,History-Biology-Geography
22,tina,2,05-06-1983,Art-Music-Computer Science
23,vincent,3,07-08-1982,Economics-Psychology-Sociology
24,wendy,6,09-10-1981,Philosophy-Engineering
25,xander,4,11-12-1980,Physical Education-Spanish
26,yvonne,1,01-02-1979,Literature-French
27,zane,5,03-04-1978,Geography-History-Chemistry
28,amy,2,05-06-1977,Physics-English-Biology
29,brad,3,07-08-1976,Music-Art-Computer Science
30,chloe,4,09-10-1975,Sociology-Economics-Psychology
31,daniel,2,11-12-1974,Philosophy-Engineering-Physical Education
32,elena,6,01-02-1974,English-Literature
33,felix,3,03-04-1973,Chemistry-Geography-History
34,gabrielle,4,05-06-1972,Biology-Physics-Music
35,henry,1,07-08-1971,Computer Science-Economics-Sociology
36,irena,5,09-10-1970,Psychology-Philosophy-Engineering
37,jason,2,11-12-1969,Physical Education-Spanish-French
38,karen,4,01-02-1969,Maths-English-Computer Science
39,louis,3,03-04-1968,French-Literature-Economics
40,monica,6,05-06-1967,Music-Art-Psychology
41,nathan,1,07-08-1966,History-Chemistry-Geography
42,oliver,2,09-10-1965,Physics-Biology-English
43,pamela,3,11-12-1964,Sociology-Engineering-Physical Education
44,quincy,4,01-02-1964,Philosophy-Spanish-Literature
45,rachel,5,03-04-1963,Maths-French-Computer Science
46,steven,1,05-06-1962,Economics-Psychology-Music
